Revenue,,,,,,,,,,,,,,,,,,
Business Area,Amazon,AMD,Apple,GlobalFoundries,Google,IBM,Intel,Marvell,Micron,Microsoft,Nvidia,Qualcomm,Samsung,SMIC,Texas Instruments,TSMC,Grand Total,Market Share
Advanced Packaging,0,1.2,0,0,0,0,2,0.5,0,0,2,0.8,4.5,0,0,9,20,3%
AI Ecosystem / Optimization Software,0.9,0.4,0.5,0,1,0.8,0.8,0,0,1,2.5,0.3,0,0,0,0,8.2,1%
AI/ML Accelerators,3,4.5,5,0,2.5,1,1.5,0.7,0,1.2,45,0.6,0,0,0,0,65,11%
Automotive Infotainment,0,0,0.2,0,0,0,0.4,0,0,0,0.6,3,1.5,0,1.3,0,7,1%
Autonomous Vehicles & ADAS,0,0.2,0,0,0,0,1,0,0,0,1.8,2.2,1.2,0,1,1.5,8.9,2%
Client Computing / PCs,0,10.6,30,0,0,0,29,0,0,2,0,1,0,0,0,0,72.6,13%
Data Center CPUs,2.5,8.5,0,0,1.5,3,14,0,0,1,0,0,0,0,0,0,30.5,5%
Data Center GPUs,0,3.5,0,0,0,0,1.2,0,0,0,39,0,0,0,0,0,43.7,8%
Edge AI,0,0.8,4,0,0,0,2,0.6,0,0,1,2.5,2,0,1.2,0,14.1,2%
Embedded Systems,0,4,0,0,0,0,1.2,0.9,0,0,0,2,1,0,9,0,18.1,3%
Foundry Services,0,0,0,6.75,0,0,4.8,0,0,0,0,0,32,8.03,0,90,141.58,24%
FPGAs & Programmable Logic,0.2,3.6,0,0,0,0,4.5,0,0,0.1,0,0,0,0,0,0,8.4,1%
Gaming Graphics,0,2.8,0,0,0,0,0.3,0,0,0,11,0,0,0,0,0,14.1,2%
HPC & Scientific Computing,0.6,2,0,0,0.5,1.5,2,0,0,0.6,6,0,0,0,0,0,13.2,2%
Memory,0,0,0,0,0,0,0,0,25.1,0,0,0,60,0,0,0,85.1,15%
Networking & Interconnect,0,1,0,0,0,0,5,3,0,0,12,1.5,0,0,0,2,24.5,4%
Professional Visualization (GPUs),0,0.5,0,0,0,0,0.1,0,0,0,1.8,0,0,0,0,0,2.4,0%
Robotics & Autonomous Machines,0.6,0,0,0,0.4,0,0.3,0,0,0.4,1,0.7,0,0,0,0,3.4,1%
Grand Total,7.8,43.6,39.7,6.75,5.9,6.3,70.1,5.7,25.1,6.3,123.7,14.6,102.2,8.03,12.5,102.5,580.78,100%
,,,,,,,,,,,,,,,,,,
Operating Margins,,,,,,,,,,,,,,,,,,
Operating Margins,Amazon,AMD,Apple,GlobalFoundries,Google,IBM,Intel,Marvell,Micron,Microsoft,Nvidia,Qualcomm,Samsung,SMIC,Texas Instruments,TSMC,Weighted Average (excluding zero),
Advanced Packaging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AI Ecosystem / Optimization Software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AI/ML Accelerators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Automotive Infotainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Autonomous Vehicles & ADAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Client Computing / PCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Data Center CPUs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Data Center GPUs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Edge AI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Embedded Systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Foundry Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FPGAs & Programmable Logic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Gaming Graphics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
HPC & Scientific Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Memory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Networking & Interconnect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Professional Visualization (GPUs),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Robotics & Autonomous Machines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Grand Total,,,,,,,,,,,,,,,,,0,
